#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A362C4
#Date Time: 2022-12-02 11:27:53.939
#Sample rate: 4000Hz
#Samples: 22261
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: -500 mV Attenuation: 1 X Sample Mode: Average
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -1 V

Time (s),Channel 1 (V)
-32.768,0.6499506439840036
-32.76775,0.7634611410328488
-32.7675,0.7634611410328488
-32.76725,0.7634611410328488
-32.767,0.7634611410328488
-32.76675,0.7634611410328488
-32.7665,0.7634611410328488
-32.76625,0.7634611410328488
-32.766,0.7634611410328488
-32.76575,0.7634611410328488
-32.7655,0.7634611410328488
-32.76525,0.7634611410328488
-32.765,0.7634611410328488
-32.76475,0.7671227699699084
-32.7645,0.7634611410328488
-32.76425,0.7634611410328488
-32.764,0.7634611410328488
-32.76375,0.7634611410328488
-32.7635,0.7634611410328488
-32.76325,0.7634611410328488
-32.763,0.7634611410328488
-32.76275,0.7634611410328488
-32.7625,0.7634611410328488
-32.76225,0.7634611410328488
-32.762,0.7634611410328488
-32.76175,0.7634611410328488
-32.7615,0.7634611410328488
-32.76125,0.7634611410328488
-32.761,0.7634611410328488
-32.76075,0.7634611410328488
-32.7605,0.7634611410328488
-32.76025,0.7634611410328488
-32.76,0.7634611410328488
-32.75975,0.7634611410328488
-32.7595,0.7634611410328488
-32.75925,0.7634611410328488
-32.759,0.7634611410328488
-32.75875,0.7634611410328488
-32.7585,0.7634611410328488
-32.75825,0.7634611410328488
-32.758,0.7634611410328488
-32.75775,0.7634611410328488
-32.7575,0.7634611410328488
-32.75725,0.7634611410328488
-32.757,0.7634611410328488
-32.75675,0.7634611410329021
-32.7565,0.7671227699698551
-32.75625,0.7634611410328488
-32.756,0.7634611410328488
-32.75575,0.7634611410328488
-32.7555,0.7634611410329021
-32.75525,0.7671227699698551
-32.755,0.7634611410329021
-32.75475,0.7671227699699084
-32.7545,0.7634611410328488
-32.75425,0.7634611410328488
-32.754,0.7634611410328488
-32.75375,0.7634611410328488
-32.7535,0.7634611410328488
-32.75325,0.7634611410328488
-32.753,0.7634611410328488
-32.75275,0.7634611410328488
-32.7525,0.7634611410328488
-32.75225,0.7634611410328488
-32.752,0.7634611410328488
-32.75175,0.7634611410328488
-32.7515,0.7634611410328488
-32.75125,0.7634611410328488
-32.751,0.7634611410328488
-32.75075,0.7634611410328488
-32.7505,0.7634611410328488
-32.75025,0.7634611410328488
-32.75,0.7671227699699084
-32.74975,0.7671227699699084
-32.7495,0.7634611410329021
-32.74925,0.7671227699698551
-32.749,0.7634611410329021
-32.74875,0.7634611410328488
-32.7485,0.7634611410328488
-32.74825,0.7671227699699084
-32.748,0.7634611410328488
-32.74775,0.7634611410328488
-32.7475,0.7634611410328488
-32.74725,0.7634611410328488
-32.747,0.7634611410328488
-32.74675,0.7634611410328488
-32.7465,0.7634611410328488
-32.74625,0.7634611410328488
-32.746,0.7634611410328488
-32.74575,0.7634611410328488
-32.7455,0.7634611410328488
-32.74525,0.7634611410328488
-32.745,0.7634611410328488
-32.74475,0.7634611410328488
-32.7445,0.7634611410328488
-32.74425,0.7634611410328488
-32.744,0.7634611410328488
-32.74375,0.7634611410328488
-32.7435,0.7634611410328488
-32.74325,0.7634611410328488
-32.743,0.7634611410328488
-32.74275,0.7634611410328488
-32.7425,0.7671227699699084
-32.74225,0.7671227699699084
-32.742,0.7671227699698551
-32.74175,0.7634611410329021
-32.7415,0.7671227699698551
-32.74125,0.7671227699699084
-32.741,0.7634611410328488
-32.74075,0.7634611410328488
-32.7405,0.7634611410328488
-32.74025,0.7634611410328488
-32.74,0.7634611410328488
-32.73975,0.7634611410328488
-32.7395,0.7634611410328488
-32.73925,0.7634611410328488
-32.739,0.7634611410328488
-32.73875,0.7634611410328488
-32.7385,0.7634611410328488
-32.73825,0.7634611410328488
-32.738,0.7634611410328488
-32.73775,0.7634611410328488
-32.7375,0.7634611410328488
-32.73725,0.7634611410328488
-32.737,0.7634611410328488
-32.73675,0.7634611410328488
-32.7365,0.7634611410328488
-32.73625,0.7634611410328488
-32.736,0.7634611410328488
-32.73575,0.7634611410328488
-32.7355,0.7634611410328488
-32.73525,0.7634611410328488
-32.735,0.7634611410328488
-32.73475,0.7634611410328488
-32.7345,0.7634611410328488
-32.73425,0.7634611410328488
-32.734,0.7634611410328488
-32.73375,0.7634611410328488
-32.7335,0.7634611410328488
-32.73325,0.7634611410328488
-32.733,0.7634611410328488
-32.73275,0.7634611410328488
-32.7325,0.7634611410328488
-32.73225,0.7634611410328488
-32.732,0.7634611410328488
-32.73175,0.7634611410328488
-32.7315,0.7634611410328488
-32.73125,0.7634611410328488
-32.731,0.7634611410328488
-32.73075,0.7634611410328488
-32.7305,0.7634611410328488
-32.73025,0.7634611410328488
-32.73,0.7634611410328488
-32.72975,0.7634611410328488
-32.7295,0.7634611410328488
-32.72925,0.7634611410328488
-32.729,0.7634611410328488
-32.72875,0.7634611410328488
-32.7285,0.7634611410328488
-32.72825,0.7634611410328488
-32.728,0.7634611410328488
-32.72775,0.7634611410328488
-32.7275,0.7634611410328488
-32.72725,0.7634611410328488
-32.727,0.7634611410328488
-32.72675,0.7634611410328488
-32.7265,0.7634611410328488
-32.72625,0.7634611410328488
-32.726,0.7634611410328488
-32.72575,0.7634611410328488
-32.7255,0.7634611410328488
