#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A362C4
#Date Time: 2022-12-02 11:48:57.412
#Sample rate: 20479.2Hz
#Samples: 56031
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: -1.6 V Attenuation: 1 X Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V)
-4.23966314,0.7888832672047188
-4.23961431,0.7892161946450743
-4.23956548,0.7888832672047188
-4.23951665,0.7888832672047188
-4.23946782,0.7888832672047188
-4.23941899,0.7888832672047188
-4.23937016,0.7888832672047188
-4.23932133,0.7888832672047188
-4.2392725,0.7892161946450792
-4.23922367,0.7888832672047237
-4.23917484,0.7892161946450792
-4.23912601,0.7892161946450792
-4.23907718,0.7888832672047188
-4.23902835,0.7892161946450792
-4.23897952,0.7888832672047188
-4.23893069,0.7888832672047188
-4.23888186,0.7892161946450792
-4.23883303,0.7892161946450792
-4.2387842,0.7888832672047188
-4.23873537,0.7888832672047188
-4.23868654,0.7888832672047188
-4.23863771,0.7888832672047188
-4.23858888,0.7892161946450792
-4.23854005,0.7892161946450792
-4.23849122,0.7892161946450792
-4.23844239,0.7892161946450792
-4.23839356,0.7892161946450792
-4.23834473,0.7888832672047188
-4.2382959,0.7892161946450792
-4.23824707,0.7892161946450792
-4.23819824,0.7892161946450792
-4.23814941,0.7892161946450792
-4.23810058,0.7892161946450792
-4.23805175,0.7892161946450792
-4.23800292,0.7892161946450792
-4.23795409,0.7888832672047188
-4.23790526,0.7892161946450792
-4.23785643,0.7892161946450792
-4.2378076,0.7892161946450792
-4.23775877,0.7888832672047188
-4.23770994,0.7892161946450792
-4.23766111,0.7892161946450792
-4.23761228,0.7892161946450792
-4.23756345,0.7892161946450792
-4.23751462,0.7892161946450792
-4.23746579,0.7892161946450792
-4.23741696,0.7892161946450792
-4.23736813,0.7892161946450792
-4.2373193,0.7892161946450792
-4.23727047,0.7892161946450792
-4.23722164,0.7892161946450792
-4.23717281,0.7892161946450792
-4.23712398,0.7892161946450792
-4.23707515,0.7892161946450792
-4.23702632,0.7892161946450792
-4.23697749,0.7892161946450792
-4.23692866,0.7892161946450792
-4.23687983,0.7892161946450792
-4.236831,0.7892161946450792
-4.23678217,0.7892161946450792
-4.23673334,0.7892161946450792
-4.23668451,0.7892161946450792
-4.23663568,0.7892161946450792
-4.23658685,0.7892161946450792
-4.23653802,0.7892161946450792
-4.23648919,0.7892161946450792
-4.23644036,0.7892161946450792
-4.23639153,0.7892161946450792
-4.2363427,0.7892161946450792
-4.23629387,0.7892161946450792
-4.23624504,0.7892161946450792
-4.23619621,0.7892161946450792
-4.23614738,0.7892161946450792
-4.23609855,0.7892161946450792
-4.23604972,0.7892161946450792
-4.23600089,0.7892161946450792
-4.23595206,0.7892161946450792
-4.23590323,0.7892161946450792
-4.2358544,0.7892161946450792
-4.23580557,0.7892161946450792
-4.23575674,0.7892161946450792
-4.23570791,0.7892161946450792
-4.23565908,0.7892161946450792
-4.23561025,0.7892161946450792
-4.23556142,0.7892161946450792
-4.23551259,0.7892161946450792
-4.23546376,0.7892161946450792
-4.23541493,0.7892161946450792
-4.2353661,0.7892161946450792
-4.235317269999999,0.7892161946450792
-4.23526844,0.7892161946450792
-4.23521961,0.7892161946450792
-4.23517078,0.7895491220854396
-4.23512195,0.7895491220854396
-4.23507312,0.7895491220854396
-4.23502429,0.7895491220854396
-4.23497546,0.7892161946450792
-4.234926629999999,0.7895491220854396
-4.2348778,0.7895491220854396
-4.23482897,0.7895491220854396
-4.23478014,0.7895491220854396
-4.23473131,0.7895491220854396
-4.23468248,0.7895491220854396
-4.23463365,0.7892161946450792
-4.23458482,0.7895491220854396
-4.234535989999999,0.7895491220854396
-4.23448716,0.7895491220854396
-4.23443833,0.7892161946450792
-4.2343895,0.7892161946450792
-4.23434067,0.7895491220854396
-4.23429184,0.7892161946450792
-4.23424301,0.7892161946450792
-4.23419418,0.7892161946450792
-4.234145349999999,0.7892161946450792
-4.23409652,0.7892161946450792
-4.23404769,0.7892161946450792
-4.23399886,0.7895491220854396
-4.23395003,0.7895491220854396
-4.2339012,0.7895491220854396
-4.23385237,0.7892161946450792
-4.23380354,0.7892161946450792
-4.233754709999999,0.7895491220854396
-4.23370588,0.7895491220854396
-4.23365705,0.7895491220854396
-4.23360822,0.7895491220854396
-4.23355939,0.7895491220854396
-4.23351056,0.7892161946450792
-4.23346173,0.7892161946450792
-4.2334129,0.7895491220854396
-4.233364069999999,0.7892161946450792
-4.23331524,0.7892161946450792
-4.23326641,0.7895491220854396
-4.23321758,0.7895491220854396
-4.23316875,0.7895491220854396
-4.23311992,0.7895491220854396
-4.23307109,0.7895491220854396
-4.23302226,0.7892161946450792
-4.232973429999999,0.7895491220854396
-4.2329246,0.7895491220854396
-4.23287577,0.7892161946450792
-4.23282694,0.7895491220854396
-4.23277811,0.7892161946450792
-4.23272928,0.7892161946450792
-4.23268045,0.7892161946450792
-4.23263162,0.7895491220854396
-4.232582789999999,0.7892161946450792
-4.23253396,0.7892161946450792
-4.23248513,0.7895491220854396
-4.2324363,0.7892161946450792
-4.23238747,0.7892161946450792
-4.23233864,0.7892161946450792
-4.23228981,0.7892161946450792
-4.23224098,0.7892161946450792
-4.232192149999999,0.7895491220854396
-4.23214332,0.7895491220854396
-4.23209449,0.7895491220854396
-4.23204566,0.7895491220854396
-4.23199683,0.7895491220854396
-4.231948,0.7895491220854396
-4.23189917,0.7892161946450792
-4.23185034,0.7895491220854347
-4.231801509999999,0.7892161946450841
-4.23175268,0.7895491220854396
-4.23170385,0.7895491220854396
-4.23165502,0.7895491220854396
-4.23160619,0.7892161946450792
-4.23155736,0.7895491220854396
-4.23150853,0.7895491220854396
-4.2314597,0.7895491220854396
-4.231410869999999,0.7895491220854347
-4.23136204,0.7892161946450792
-4.23131321,0.7892161946450792
-4.23126438,0.7892161946450792
-4.23121555,0.7892161946450792
-4.23116672,0.7892161946450792
-4.23111789,0.7892161946450792
-4.23106906,0.7895491220854347
-4.231020229999999,0.7892161946450841
-4.2309714,0.7895491220854396
-4.23092257,0.7892161946450792
-4.23087374,0.7892161946450792
-4.23082491,0.7892161946450792
-4.23077608,0.7892161946450792
-4.23072725,0.7892161946450792
-4.23067842,0.7892161946450792
-4.230629589999999,0.7892161946450841
-4.23058076,0.7895491220854396
-4.23053193,0.7892161946450792
-4.2304831,0.7895491220854396
-4.23043427,0.7895491220854396
-4.23038544,0.7892161946450792
-4.23033661,0.7892161946450792
-4.23028778,0.7892161946450792
-4.230238949999999,0.7892161946450792
-4.23019012,0.7892161946450792
-4.23014129,0.7892161946450792
-4.23009246,0.7892161946450792
-4.23004363,0.7892161946450792
-4.2299948,0.7892161946450792
-4.22994597,0.7892161946450792
-4.22989714,0.7892161946450792
-4.22984831,0.7892161946450792
-4.22979948,0.7892161946450792
-4.22975065,0.7892161946450792
-4.22970182,0.7892161946450792
-4.22965299,0.7892161946450792
-4.22960416,0.7892161946450792
-4.22955533,0.7892161946450792
-4.2295065,0.7892161946450792
-4.22945767,0.7892161946450792
-4.22940884,0.7892161946450792
-4.22936001,0.7892161946450792
-4.22931118,0.7892161946450792
-4.22926235,0.7892161946450792
-4.22921352,0.7892161946450792
-4.22916469,0.7892161946450792
-4.22911586,0.7892161946450792
-4.22906703,0.7892161946450792
-4.2290182,0.7892161946450792
-4.22896937,0.7892161946450792
-4.22892054,0.7892161946450792
-4.22887171,0.7892161946450792
-4.22882288,0.7892161946450792
-4.22877405,0.7892161946450792
-4.22872522,0.7892161946450792
-4.22867639,0.7892161946450792
-4.22862756,0.7892161946450792
-4.22857873,0.7892161946450792
-4.2285299,0.7892161946450792
-4.22848107,0.7892161946450792
-4.22843224,0.7895491220854396
-4.22838341,0.7895491220854396
-4.22833458,0.7892161946450841
-4.22828575,0.7892161946450792
-4.22823692,0.7892161946450792
-4.22818809,0.7892161946450792
-4.22813926,0.7892161946450792
-4.22809043,0.7892161946450792
-4.2280416,0.7892161946450792
-4.22799277,0.7892161946450792
-4.22794394,0.7892161946450792
-4.22789511,0.7892161946450792
-4.22784628,0.7892161946450792
-4.22779745,0.7892161946450792
-4.22774862,0.7892161946450792
-4.22769979,0.7892161946450792
-4.22765096,0.7892161946450792
-4.22760213,0.7892161946450792
