   1 	    59.4859 
   2 	    68.0550 
   3 	    76.6519 
   4 	    85.2534 
   5 	    93.8713 
   6 	   102.4927 
   7 	   111.0421 
   8 	   119.6836 
   9 	   128.2206 
  10 	   136.7972 
  11 	   145.4182 
  12 	   154.0689 
  13 	   162.5438 
  14 	   171.1981 
  15 	   179.8387 
  16 	   188.3800 
  17 	   197.0231 
  18 	   205.5987 
  19 	   214.0892 
  20 	   222.8306 
  21 	   231.2815 
  22 	   240.0545 
  23 	   248.5703 
  24 	   257.2869 
  25 	   265.8733 
  26 	   274.2451 
  27 	   283.0115 
  28 	   291.6288 
  29 	   300.2402 
  30 	   308.9134 
  31 	   317.4280 
  32 	   325.9940 
  33 	   334.5864 
  34 	   343.2462 
  35 	   351.8539 
