   1 	     7.8103 
   2 	    16.6378 
   3 	    25.1738 
   4 	    33.9299 
   5 	    42.5371 
   6 	    51.1100 
   7 	    59.5564 
   8 	    68.4084 
   9 	    76.9409 
  10 	    85.5610 
  11 	    94.2383 
  12 	   102.7777 
  13 	   111.3505 
  14 	   119.7901 
  15 	   128.5266 
  16 	   137.2707 
  17 	   145.8183 
  18 	   154.3826 
  19 	   162.9344 
  20 	   171.5507 
  21 	   180.1231 
  22 	   188.8306 
  23 	   197.2793 
  24 	   205.9511 
  25 	   214.5432 
  26 	   223.2552 
  27 	   231.8270 
  28 	   240.3235 
  29 	   249.0877 
  30 	   257.8120 
  31 	   266.0437 
  32 	   274.8359 
  33 	   283.4516 
  34 	   291.8483 
  35 	   300.5521 
